Student Name,Student ID,Attendance Percentage,Previous Exam Score,Previous Semester Score,Assignment Score,Internal Assessment Score,Study Hours per Day,Class Participation Percentage,Sleep Hours per Day,Final Performance Score,Performance Category
Arjun Chauhan,ST2458,71.2,72.3,59.5,79.7,65.4,3.5,74.2,6.4,69.5,Average
Nikhil Shah,ST2459,76.7,41.8,55.5,53.4,41.9,3.5,60.9,6.0,65.6,Average
Nikhil Rana,ST2460,93.4,92.0,85.3,100.0,85.6,6.3,89.3,6.1,100.0,Excellent
Meera Bansal,ST2461,70.0,38.1,74.2,52.4,79.4,2.7,91.7,6.9,74.0,Good
Khushi Verma,ST2462,84.9,78.8,61.0,69.0,73.0,9.0,67.1,6.7,89.6,Excellent
Aman Sharma,ST2463,61.2,63.2,70.6,76.9,48.7,4.6,55.8,6.7,71.3,Good
Shreya Bansal,ST2464,59.2,50.6,53.0,70.9,59.8,3.6,63.2,6.0,66.2,Average
Sneha Sinha,ST2465,71.7,61.4,53.0,72.5,52.6,2.6,82.6,5.9,70.9,Good
Rahul Malhotra,ST2466,73.3,79.1,66.6,70.4,87.3,5.7,84.9,5.6,89.3,Excellent
Meera Rana,ST2467,79.6,55.3,64.8,68.8,70.0,5.4,68.2,6.7,76.1,Good
Sameer Yadav,ST2468,73.3,93.2,83.6,71.0,61.9,5.8,91.4,6.1,93.0,Excellent
Isha Joshi,ST2469,63.8,70.5,69.1,70.4,77.4,7.4,93.9,6.3,90.0,Excellent
Varun Verma,ST2470,65.5,69.5,54.8,58.9,50.8,0.5,39.4,8.9,68.3,Average
Riya Joshi,ST2471,100.0,100.0,81.2,81.3,90.4,6.6,81.4,5.6,100.0,Excellent
Avni Verma,ST2472,73.1,70.4,78.5,57.6,62.1,6.2,73.2,7.2,75.9,Good
Ayush Shah,ST2473,66.5,64.1,77.5,85.2,92.1,3.6,77.8,6.0,91.3,Excellent
Avni Chauhan,ST2474,51.4,58.9,47.4,65.0,59.0,1.4,80.1,6.1,60.1,Average
Khushi Sinha,ST2475,100.0,81.1,95.4,86.8,90.3,5.1,75.7,7.4,100.0,Excellent
Aryan Mehta,ST2476,65.1,66.9,57.3,57.4,50.3,4.9,59.7,7.7,73.9,Good
Rahul Singh,ST2477,75.6,86.4,82.0,80.4,82.1,3.8,94.0,7.9,85.8,Excellent
Meera Patel,ST2478,50.9,42.9,53.6,72.2,43.6,1.2,45.7,8.6,62.7,Average
Priya Verma,ST2479,64.6,93.3,84.8,65.8,76.4,6.1,71.4,6.7,93.2,Excellent
Riya Patel,ST2480,69.8,28.8,52.8,53.3,46.8,2.1,61.9,7.6,62.8,Average
Akash Saxena,ST2481,95.8,73.7,77.6,64.4,76.6,4.1,67.4,6.7,79.4,Good
Rohan Malhotra,ST2482,81.5,96.5,65.2,100.0,98.3,5.2,88.3,8.3,93.6,Excellent
Aditya Rana,ST2483,100.0,81.7,80.8,77.2,67.5,4.6,75.6,6.1,86.6,Excellent
Deepak Singh,ST2484,86.2,66.3,99.0,89.0,74.4,4.1,81.0,7.6,97.4,Excellent
Aarav Shah,ST2485,100.0,94.9,73.5,56.3,100.0,5.5,76.6,5.9,94.8,Excellent
Isha Gupta,ST2486,72.5,66.6,69.9,68.7,51.7,5.6,54.8,7.0,69.6,Average
Mohit Rana,ST2487,83.7,76.6,91.9,72.1,69.6,8.0,87.1,5.0,100.0,Excellent
Sachin Patel,ST2488,74.3,43.5,53.2,67.0,61.1,4.4,49.6,7.3,77.5,Good
Rahul Mishra,ST2489,75.2,78.0,69.0,69.7,73.9,3.8,75.0,9.1,81.1,Good
Khushi Kumar,ST2490,92.3,88.0,68.0,78.8,60.4,9.1,57.7,5.9,91.5,Excellent
Shivam Shah,ST2491,53.7,57.3,53.0,80.8,71.0,7.9,57.1,6.4,77.2,Good
Aryan Patel,ST2492,45.0,31.8,58.9,68.2,43.6,2.4,36.7,8.2,60.8,Average
Rohan Yadav,ST2493,99.3,99.5,100.0,100.0,90.7,5.4,89.1,7.0,100.0,Excellent
Sanya Singh,ST2494,93.8,83.2,78.7,81.9,86.4,7.5,62.4,7.9,95.8,Excellent
Akash Yadav,ST2495,83.8,75.6,73.5,74.4,73.7,3.4,57.9,7.6,89.5,Excellent
Isha Joshi,ST2496,59.9,46.1,58.1,63.3,51.1,1.7,64.3,8.3,73.3,Good
Nikhil Malhotra,ST2497,61.3,83.3,87.8,68.8,68.2,1.3,64.3,5.5,74.7,Good
Ayush Saxena,ST2498,70.5,58.6,69.1,74.3,67.6,6.1,77.8,7.0,79.8,Good
Sakshi Kumar,ST2499,68.0,76.0,64.1,57.3,61.6,0.5,44.0,6.4,74.0,Good
Sameer Mehta,ST2500,65.6,54.7,71.7,66.9,79.2,6.0,46.3,6.5,68.3,Average
Sanya Gupta,ST2501,51.3,31.4,42.3,75.8,54.3,5.6,52.9,7.4,61.6,Average
Anjali Kumar,ST2502,71.1,47.8,57.0,69.7,63.7,7.0,71.4,6.5,82.4,Good
Sneha Sharma,ST2503,97.8,65.5,94.0,74.9,85.2,3.6,72.3,6.4,95.2,Excellent
Aarav Kapoor,ST2504,73.7,52.7,63.7,53.4,66.8,0.5,46.8,8.8,66.5,Average
Meera Sinha,ST2505,96.6,84.6,83.1,86.3,96.7,5.9,100.0,7.9,100.0,Excellent
Riya Agarwal,ST2506,62.3,57.6,46.7,63.8,44.1,4.1,50.1,5.7,53.4,Average
Khushi Singh,ST2507,77.4,71.3,54.0,68.9,69.1,6.2,52.9,7.6,87.0,Excellent
Sachin Mishra,ST2508,67.4,54.0,69.8,63.6,38.9,4.8,42.2,7.2,70.9,Good
Tanya Gupta,ST2509,69.5,96.8,62.3,72.2,81.2,5.2,57.6,7.2,84.3,Good
Arjun Verma,ST2510,95.4,80.2,81.1,85.9,99.8,10.0,79.7,8.0,100.0,Excellent
Deepak Patel,ST2511,63.1,51.1,63.6,67.5,65.1,2.4,65.3,7.5,68.6,Average
Aarav Kumar,ST2512,59.8,45.1,44.8,72.5,75.0,2.6,62.4,8.0,63.7,Average
Amit Singh,ST2513,94.5,72.6,74.5,75.1,75.1,3.3,74.2,7.4,86.9,Excellent
Ayush Shah,ST2514,59.1,69.5,68.0,69.6,61.6,5.4,58.1,7.2,77.7,Good
Aman Chauhan,ST2515,90.4,54.3,66.2,71.6,57.6,4.4,86.7,6.1,75.8,Good
Priya Agarwal,ST2516,69.9,47.0,49.9,66.4,66.5,4.6,68.1,9.5,73.9,Good
Ananya Kapoor,ST2517,65.6,67.7,59.0,79.4,59.6,3.6,77.9,4.5,70.6,Good
Rohan Agarwal,ST2518,86.5,73.9,83.4,77.2,77.8,7.0,80.8,6.0,85.4,Excellent
Sneha Gupta,ST2519,55.0,36.0,37.6,54.0,50.9,1.8,53.5,6.9,47.6,At Risk
Sneha Singh,ST2520,75.3,64.5,60.2,56.4,59.3,3.3,28.7,8.1,75.9,Good
Nikhil Patel,ST2521,63.9,27.3,39.7,40.2,48.9,2.0,48.6,5.9,45.8,At Risk
Aman Bansal,ST2522,84.5,60.0,68.6,63.7,56.4,2.3,97.5,7.1,77.0,Good
Aryan Rana,ST2523,94.0,82.9,83.7,72.0,80.4,5.9,75.7,7.7,86.9,Excellent
Riya Shah,ST2524,72.1,71.9,59.8,62.4,74.0,5.2,54.0,5.8,84.1,Good
Kavya Shah,ST2525,80.8,55.3,67.6,65.1,51.6,1.5,54.2,7.3,68.5,Average
Sakshi Saxena,ST2526,76.2,49.8,53.9,51.6,47.7,6.5,45.9,6.7,76.3,Good
Neha Kumar,ST2527,67.7,57.8,73.9,67.5,74.0,4.1,53.3,6.5,85.4,Excellent
Amit Gupta,ST2528,79.3,72.2,55.8,74.8,60.1,3.0,67.6,7.3,71.3,Good
Diya Verma,ST2529,90.6,86.3,70.1,70.7,80.8,4.6,88.8,6.6,87.1,Excellent
Neha Sinha,ST2530,66.0,56.9,42.3,59.6,57.9,6.0,63.3,7.9,77.6,Good
Akash Agarwal,ST2531,76.3,67.6,67.3,62.0,73.2,3.7,59.5,7.7,76.1,Good
Sanya Shah,ST2532,82.9,61.4,61.0,58.7,79.6,4.6,56.3,6.9,80.0,Good
Mohit Chauhan,ST2533,67.4,47.3,58.8,75.6,64.8,5.0,62.9,7.1,75.2,Good
Mohit Yadav,ST2534,74.0,59.1,70.0,71.6,51.8,5.0,71.9,6.6,67.0,Average
Ayush Mehta,ST2535,91.0,64.0,77.3,92.4,68.3,4.0,69.5,8.5,92.5,Excellent
Aman Sinha,ST2536,100.0,75.8,89.3,71.6,74.9,7.1,68.3,7.2,95.6,Excellent
Aarav Singh,ST2537,67.7,56.7,55.1,81.3,67.1,4.4,74.3,6.9,71.2,Good
Diya Kapoor,ST2538,61.0,55.1,52.9,52.6,62.6,0.5,75.3,8.0,71.9,Good
Sanya Mishra,ST2539,85.7,87.0,69.0,74.5,80.3,7.9,93.5,8.5,96.2,Excellent
Shreya Sinha,ST2540,66.9,49.1,60.4,86.4,57.2,2.3,81.0,6.6,67.8,Average
Kavya Singh,ST2541,81.0,59.5,88.2,64.8,48.8,4.5,63.7,7.9,73.0,Good
Khushi Malhotra,ST2542,70.3,72.5,54.7,84.1,80.9,5.0,80.1,7.4,87.1,Excellent
Neha Sinha,ST2543,62.0,65.0,72.0,68.3,64.4,3.4,81.6,7.0,76.7,Good
Sneha Mehta,ST2544,85.9,54.6,71.6,55.9,64.7,5.2,56.3,6.3,69.6,Average
Mohit Malhotra,ST2545,86.7,88.2,65.5,62.7,78.0,3.4,65.5,8.0,86.8,Excellent
Rahul Gupta,ST2546,45.0,25.0,28.4,38.7,25.0,0.5,20.0,7.8,44.3,At Risk
Kavya Gupta,ST2547,90.3,57.9,77.0,70.1,79.2,8.1,80.5,8.1,96.1,Excellent
Shreya Sinha,ST2548,82.4,45.3,54.8,59.1,49.3,3.4,39.0,8.4,75.0,Good
Priya Verma,ST2549,72.0,88.1,68.0,56.5,86.7,3.2,93.2,7.5,82.4,Good
Ayush Shah,ST2550,80.5,66.1,69.0,76.4,50.0,5.1,56.9,6.3,86.4,Excellent
Deepak Mishra,ST2551,75.2,75.9,93.9,67.6,73.8,6.8,88.4,8.8,95.8,Excellent
Varun Gupta,ST2552,75.9,67.9,68.6,71.2,67.2,2.1,43.2,6.7,77.0,Good
Kavya Pandey,ST2553,72.3,65.3,51.0,50.1,73.0,6.2,82.6,7.7,86.5,Excellent
Deepak Patel,ST2554,48.9,43.2,48.4,66.6,55.8,5.5,63.7,5.2,76.4,Good
Kavya Sinha,ST2555,69.8,67.0,41.6,47.9,47.4,4.3,44.7,8.7,64.8,Average
Manish Saxena,ST2556,62.6,37.5,35.3,49.8,43.3,1.6,48.2,5.4,48.4,At Risk
Sakshi Patel,ST2557,74.0,63.4,71.9,69.4,67.7,3.7,57.6,6.8,78.1,Good
Shreya Patel,ST2558,61.7,63.2,62.0,70.6,86.8,5.6,66.3,5.9,77.4,Good
Ayush Sharma,ST2559,71.5,51.7,53.9,52.6,56.3,4.4,67.3,8.5,69.3,Average
Nisha Kapoor,ST2560,80.4,68.4,69.2,54.7,56.7,5.0,58.9,6.3,70.2,Good
Priya Mishra,ST2561,73.6,56.0,71.5,74.9,68.4,6.5,64.5,7.3,83.9,Good
Kavya Sinha,ST2562,81.5,45.6,76.4,65.9,63.6,6.0,42.4,7.1,82.1,Good
Ishaan Bansal,ST2563,45.5,33.3,33.4,38.5,43.5,0.5,39.9,6.1,46.1,At Risk
Rahul Sinha,ST2564,65.8,34.0,47.2,65.7,59.4,4.3,27.8,8.1,58.1,Average
Aman Mehta,ST2565,70.9,79.9,72.5,70.7,78.9,7.3,91.4,6.7,83.9,Good
Shivam Saxena,ST2566,68.6,75.0,86.9,71.3,82.9,6.0,60.1,8.4,90.5,Excellent
Aryan Malhotra,ST2567,63.6,56.8,45.5,45.7,62.3,3.1,49.5,7.8,65.0,Average
Kavya Rana,ST2568,67.0,50.8,78.9,55.8,55.3,2.9,68.2,6.5,68.9,Average
Sameer Malhotra,ST2569,81.5,78.7,78.3,72.5,68.6,3.8,100.0,6.9,85.8,Excellent
Manish Patel,ST2570,58.2,39.5,76.0,66.5,62.5,6.8,80.7,6.6,74.9,Good
Akash Gupta,ST2571,81.3,51.4,56.7,83.0,53.8,2.1,83.4,8.1,75.6,Good
Diya Kapoor,ST2572,75.8,65.3,70.4,70.4,74.1,9.2,85.1,7.2,97.2,Excellent
Sachin Saxena,ST2573,80.3,72.2,61.6,63.7,55.4,3.9,77.0,6.5,73.2,Good
Sakshi Mishra,ST2574,74.0,53.4,72.3,64.0,49.4,6.0,65.3,7.8,80.9,Good
Akash Agarwal,ST2575,60.3,77.6,60.3,72.8,77.8,4.3,70.4,7.5,81.0,Good
Mohit Saxena,ST2576,94.7,59.6,83.1,95.6,90.7,8.5,82.8,7.2,92.4,Excellent
Deepak Verma,ST2577,100.0,87.8,82.6,72.6,80.4,5.8,94.3,7.4,95.5,Excellent
Nisha Singh,ST2578,85.9,64.5,74.3,64.4,73.3,3.4,58.6,8.0,81.5,Good
Rohan Kapoor,ST2579,62.3,61.9,52.8,70.5,59.6,4.0,48.9,6.2,79.3,Good
Shivam Sinha,ST2580,86.8,60.3,65.0,60.1,84.1,5.0,79.4,7.2,80.7,Good
Arjun Rana,ST2581,68.9,79.4,83.2,56.6,71.1,6.5,54.4,7.8,83.7,Good
Vikram Mehta,ST2582,51.9,46.9,37.8,83.7,53.4,3.3,56.5,8.3,68.0,Average
Rohan Mehta,ST2583,81.3,60.8,86.0,68.9,69.2,5.9,95.9,8.0,89.4,Excellent
Akash Sharma,ST2584,78.5,49.8,72.1,64.9,80.2,2.6,71.2,6.4,69.5,Average
Shreya Gupta,ST2585,82.5,51.8,44.5,75.1,67.2,2.4,68.7,9.4,67.6,Average
Aarav Kapoor,ST2586,73.6,57.7,56.5,65.2,63.4,3.5,47.3,8.9,66.2,Average
Sneha Shah,ST2587,75.5,52.8,42.4,74.4,57.4,4.3,45.2,6.2,72.8,Good
Vikram Malhotra,ST2588,50.2,33.6,42.6,69.2,64.1,1.4,66.0,7.1,54.5,Average
Amit Joshi,ST2589,63.7,55.0,49.0,47.3,62.8,4.1,55.4,7.8,79.5,Good
Aarav Kumar,ST2590,87.5,46.0,58.8,84.8,56.3,6.0,80.0,6.2,77.6,Good
Shivam Verma,ST2591,75.4,75.0,84.9,71.4,63.8,4.3,37.4,7.7,85.4,Excellent
Vikram Joshi,ST2592,63.6,70.0,60.0,61.7,53.6,2.8,61.2,7.5,66.2,Average
Sanya Chauhan,ST2593,99.7,78.9,100.0,93.4,91.1,5.2,100.0,8.3,100.0,Excellent
Ishaan Kumar,ST2594,66.6,62.0,52.1,39.8,68.4,0.9,70.6,7.9,72.8,Good
Rohan Patel,ST2595,68.2,83.0,80.4,77.9,68.9,6.6,84.7,4.8,85.3,Excellent
Ayush Singh,ST2596,70.6,40.3,65.1,48.0,45.8,1.2,37.7,8.3,56.6,Average
Arjun Singh,ST2597,78.6,65.9,76.8,64.1,65.0,3.8,74.9,8.4,80.8,Good
Ishaan Shah,ST2598,78.9,68.9,70.1,63.4,75.3,4.6,66.8,7.0,81.0,Good
Sakshi Verma,ST2599,48.0,56.4,50.3,71.8,50.2,7.1,54.5,6.9,67.5,Average
Manish Patel,ST2600,91.9,39.0,60.2,74.4,52.0,4.1,65.3,7.3,82.1,Good
Karan Verma,ST2601,65.2,88.6,70.4,74.5,73.1,8.1,93.9,6.0,91.7,Excellent
Vikram Rana,ST2602,89.7,59.2,61.0,58.7,56.9,3.3,46.7,9.5,83.0,Good
Sanya Agarwal,ST2603,85.5,53.3,46.7,65.7,68.1,4.3,52.6,6.3,77.8,Good
Karan Patel,ST2604,47.3,36.6,51.7,54.0,57.2,4.1,55.8,8.0,71.2,Good
Aditya Verma,ST2605,85.4,66.9,58.5,81.3,71.2,6.7,97.8,7.7,84.6,Good
Pranav Shah,ST2606,53.3,62.7,52.1,65.0,38.5,3.4,49.3,6.7,67.1,Average
Sachin Verma,ST2607,69.3,67.9,52.7,71.5,56.1,4.1,46.5,6.2,69.2,Average
Varun Singh,ST2608,75.4,76.8,87.4,68.1,57.4,6.7,49.5,6.7,84.8,Good
Arjun Chauhan,ST2609,81.1,54.0,66.4,74.3,69.1,5.5,100.0,7.6,80.3,Good
Priya Mehta,ST2610,70.7,51.8,51.4,65.7,52.7,2.8,36.4,7.6,76.7,Good
Varun Sharma,ST2611,73.3,77.4,66.4,79.3,77.1,8.1,79.8,8.4,90.8,Excellent
Kavya Joshi,ST2612,74.9,67.4,49.7,62.0,64.8,4.7,45.0,6.4,76.4,Good
Rohan Shah,ST2613,59.8,43.1,55.4,52.1,71.0,1.5,42.5,6.9,55.4,Average
Mohit Sinha,ST2614,55.8,71.5,73.6,70.3,70.4,2.7,56.8,8.2,75.1,Good
Manish Rana,ST2615,77.0,60.0,83.1,67.6,75.8,8.6,51.6,4.9,90.2,Excellent
Nikhil Agarwal,ST2616,83.2,57.0,72.9,61.7,44.3,2.8,74.5,6.7,74.8,Good
Avni Kumar,ST2617,80.2,75.3,95.0,83.2,78.8,6.9,83.7,6.6,91.3,Excellent
Arjun Pandey,ST2618,50.8,38.3,67.3,67.0,67.6,4.1,53.6,7.1,65.1,Average
Meera Bansal,ST2619,76.0,56.2,54.4,53.9,64.3,4.9,53.5,6.5,73.2,Good
Ishaan Bansal,ST2620,56.2,45.0,56.1,63.3,45.0,6.4,68.5,5.0,67.3,Average
Rahul Chauhan,ST2621,83.8,89.4,52.6,94.4,72.4,7.1,77.3,8.2,88.6,Excellent
Nisha Kapoor,ST2622,72.9,59.8,72.7,75.6,68.1,5.9,92.4,8.3,85.1,Excellent
Neha Kumar,ST2623,81.1,56.1,56.7,58.7,52.2,2.9,50.9,5.6,66.5,Average
Diya Malhotra,ST2624,69.5,46.3,78.2,78.2,57.1,2.9,68.4,7.9,77.6,Good
Khushi Yadav,ST2625,45.0,27.7,25.0,62.2,25.0,4.6,20.0,6.9,54.2,Average
Sachin Chauhan,ST2626,78.6,70.5,81.5,84.8,69.7,5.4,72.1,7.5,91.7,Excellent
Sanya Bansal,ST2627,62.2,54.2,54.9,52.9,68.5,4.1,78.4,7.4,73.9,Good
Sanya Mishra,ST2628,49.1,64.9,37.0,53.9,47.9,1.9,53.3,5.9,59.0,Average
Deepak Rana,ST2629,76.4,42.2,33.2,69.0,51.3,2.9,72.6,8.1,69.2,Average
Isha Rana,ST2630,82.0,57.2,75.5,47.6,73.5,6.7,68.3,6.2,86.3,Excellent
Riya Bansal,ST2631,80.2,57.8,61.8,66.6,51.4,3.7,67.1,4.6,77.9,Good
Sakshi Patel,ST2632,87.2,66.9,71.8,75.3,68.7,3.3,85.0,7.4,79.3,Good
Kavya Bansal,ST2633,80.5,74.9,74.6,85.6,68.3,3.9,68.1,5.6,80.2,Good
Arjun Joshi,ST2634,69.6,75.3,71.7,72.6,77.3,5.0,54.1,8.1,89.0,Excellent
Ananya Gupta,ST2635,51.4,33.8,29.6,49.6,34.1,2.9,34.0,7.0,46.0,At Risk
Riya Mishra,ST2636,68.6,83.4,61.9,68.5,55.3,1.2,48.0,7.5,66.1,Average
Aarav Mishra,ST2637,75.0,47.1,54.2,70.1,44.1,4.4,72.3,7.6,69.4,Average
Manish Joshi,ST2638,55.4,69.5,65.4,65.4,47.6,4.5,69.9,7.2,74.1,Good
Priya Verma,ST2639,71.3,64.8,59.9,58.2,59.0,5.5,50.8,6.4,72.3,Good
Aman Kumar,ST2640,49.6,60.4,77.4,57.5,48.7,2.9,67.8,8.4,72.6,Good
Khushi Kapoor,ST2641,80.2,71.6,68.8,71.9,60.8,6.6,56.4,6.7,82.5,Good
Diya Sinha,ST2642,88.7,95.6,77.3,88.0,92.8,4.1,94.5,6.0,93.4,Excellent
Ananya Saxena,ST2643,67.2,70.3,80.4,80.5,82.2,7.0,74.2,7.1,82.6,Good
Deepak Sinha,ST2644,61.6,68.7,73.7,62.8,88.3,4.2,71.9,7.0,83.5,Good
Sneha Rana,ST2645,83.3,100.0,91.8,79.7,75.9,7.2,100.0,6.7,100.0,Excellent
Nikhil Sharma,ST2646,84.8,73.7,85.7,86.2,84.8,6.0,88.8,7.0,94.3,Excellent
Priya Agarwal,ST2647,61.4,74.7,67.6,64.8,62.4,5.5,65.2,7.0,80.0,Good
Nikhil Mishra,ST2648,82.6,58.5,53.4,72.4,62.4,2.0,72.7,8.8,76.5,Good
Diya Gupta,ST2649,92.3,68.8,72.6,81.5,100.0,7.7,72.4,5.9,99.8,Excellent
Sameer Yadav,ST2650,90.5,62.1,86.1,92.2,62.7,7.3,56.9,4.6,88.5,Excellent
Ayush Rana,ST2651,46.6,45.7,65.2,50.7,45.3,2.2,64.8,7.3,55.1,Average
Aman Kapoor,ST2652,97.5,90.0,63.7,92.7,73.5,5.9,65.3,7.7,100.0,Excellent
Pooja Joshi,ST2653,79.3,40.1,50.8,77.5,60.4,2.8,77.2,5.7,74.6,Good
Mohit Pandey,ST2654,60.2,56.0,42.2,58.3,36.6,1.4,59.4,7.8,60.5,Average
Manish Sinha,ST2655,45.0,49.1,51.0,44.3,57.1,2.3,44.1,5.9,56.8,Average
Deepak Gupta,ST2656,71.6,47.4,72.4,84.9,78.0,4.5,53.4,7.9,81.4,Good
Kavya Gupta,ST2657,70.7,57.9,57.1,61.8,73.7,3.9,62.4,7.1,71.0,Good
Varun Joshi,ST2658,87.0,91.9,100.0,87.0,73.7,4.4,87.2,6.2,100.0,Excellent
Shivam Kapoor,ST2659,78.2,86.8,74.6,81.7,82.3,6.5,81.9,5.2,95.6,Excellent
Khushi Chauhan,ST2660,75.7,75.1,74.4,64.8,69.7,3.1,50.2,9.4,81.7,Good
Shivam Yadav,ST2661,55.5,63.6,79.8,80.5,76.6,3.7,81.6,9.5,87.2,Excellent
Anjali Joshi,ST2662,96.1,66.8,67.3,69.1,77.4,7.7,87.6,5.6,95.5,Excellent
Diya Bansal,ST2663,84.8,84.3,63.9,88.2,83.1,3.0,74.8,6.1,86.1,Excellent
Sneha Shah,ST2664,71.0,49.1,51.2,57.3,53.9,4.7,55.7,7.1,64.9,Average
Shreya Verma,ST2665,68.4,63.7,47.2,63.9,59.9,1.3,71.9,7.1,70.6,Good
Karan Joshi,ST2666,88.6,94.0,69.1,60.5,78.9,2.6,80.1,7.0,85.7,Excellent
Aryan Patel,ST2667,78.7,78.6,60.0,83.1,76.1,5.9,49.5,7.2,80.7,Good
Ayush Sharma,ST2668,69.6,69.8,61.7,84.4,70.1,3.5,67.0,9.1,86.9,Excellent
Shreya Shah,ST2669,59.1,45.0,54.9,64.5,41.9,0.5,59.8,8.9,62.8,Average
Nikhil Shah,ST2670,80.9,54.0,58.5,68.6,57.8,4.4,64.2,6.7,73.9,Good
Sanya Joshi,ST2671,72.5,81.7,68.9,72.2,71.8,5.9,89.3,7.6,98.3,Excellent
Nisha Malhotra,ST2672,57.5,33.5,35.0,50.8,35.5,0.5,34.0,5.7,43.7,At Risk
Anjali Kumar,ST2673,77.1,93.2,77.2,77.8,83.6,7.7,83.7,6.8,92.8,Excellent
Khushi Singh,ST2674,89.9,83.0,100.0,68.4,95.5,4.0,78.2,6.9,95.1,Excellent
Rahul Patel,ST2675,68.4,49.3,56.6,67.7,68.2,1.7,68.5,8.4,69.9,Average
Mohit Malhotra,ST2676,91.9,75.4,74.2,83.6,81.2,3.9,69.0,7.8,86.9,Excellent
Aarav Kumar,ST2677,79.4,48.0,78.0,67.0,75.5,5.1,59.5,7.3,87.1,Excellent
Mohit Mishra,ST2678,74.2,71.3,77.8,48.4,86.9,4.5,67.4,7.5,78.2,Good
Shivam Shah,ST2679,75.9,44.6,47.2,46.4,50.1,0.5,42.1,7.1,59.3,Average
Avni Yadav,ST2680,78.1,98.5,69.0,86.1,85.6,3.4,86.6,8.2,92.8,Excellent
Avni Chauhan,ST2681,95.2,88.7,86.8,67.2,77.7,5.0,84.5,7.5,95.0,Excellent
Diya Gupta,ST2682,57.2,59.5,65.6,54.9,42.3,1.7,30.4,7.2,66.8,Average
Tanya Verma,ST2683,71.7,35.1,47.3,53.8,51.0,4.0,67.6,7.2,74.8,Good
Neha Rana,ST2684,89.7,70.8,57.0,71.1,78.2,3.6,71.6,8.0,83.6,Good
Shreya Chauhan,ST2685,66.4,49.8,60.6,66.5,66.8,4.9,55.0,7.9,79.0,Good
Avni Singh,ST2686,56.7,78.9,52.5,74.9,48.9,6.6,65.7,6.5,77.5,Good
Pooja Singh,ST2687,80.9,68.4,79.3,79.5,89.8,7.0,67.8,5.9,90.8,Excellent
Tanya Rana,ST2688,74.4,37.0,51.8,41.3,25.7,0.5,40.3,7.1,54.9,Average
Deepak Pandey,ST2689,85.5,72.8,94.7,92.3,95.4,6.0,95.1,6.5,99.2,Excellent
Nisha Mishra,ST2690,86.9,61.1,60.7,50.5,68.6,3.7,84.1,7.3,74.1,Good
Pooja Kumar,ST2691,74.7,93.9,89.7,81.6,72.6,5.1,73.1,8.2,100.0,Excellent
Pranav Patel,ST2692,75.5,81.0,93.5,85.9,82.7,1.8,76.0,6.9,88.3,Excellent
Aarav Pandey,ST2693,89.4,74.2,82.5,97.6,74.2,4.2,91.1,7.5,92.6,Excellent
Rahul Saxena,ST2694,81.6,38.7,53.1,63.8,70.2,2.3,54.8,7.1,65.5,Average
Kavya Malhotra,ST2695,85.6,62.9,51.7,67.6,57.2,3.3,73.3,7.2,76.9,Good
Rahul Yadav,ST2696,77.9,74.0,84.3,73.1,68.9,4.4,62.4,7.4,84.0,Good
Priya Agarwal,ST2697,78.0,51.2,61.9,64.1,69.7,2.4,62.0,8.5,75.2,Good
Rohan Joshi,ST2698,66.1,57.8,62.3,61.7,33.6,0.8,58.1,7.8,62.6,Average
Sanya Gupta,ST2699,73.1,49.9,39.0,63.7,61.6,2.6,33.5,4.7,56.4,Average
Ananya Mehta,ST2700,68.3,75.5,64.1,65.9,46.6,3.5,80.1,7.0,82.9,Good
Sakshi Sharma,ST2701,76.4,57.0,67.9,62.0,46.7,3.8,62.9,8.7,71.5,Good
Anjali Pandey,ST2702,62.5,51.8,50.3,71.3,55.4,2.8,60.3,8.4,65.6,Average
Deepak Saxena,ST2703,91.6,83.2,98.7,74.8,91.1,4.2,100.0,7.9,100.0,Excellent
Karan Mishra,ST2704,82.0,65.0,76.1,75.6,72.6,3.9,68.8,8.3,86.1,Excellent
Shreya Shah,ST2705,63.5,73.8,64.3,72.7,59.0,3.6,48.9,8.0,79.0,Good
Anjali Kumar,ST2706,66.1,69.0,63.2,66.4,87.1,4.6,63.8,8.2,84.5,Good
Aryan Mishra,ST2707,81.8,65.3,64.5,34.3,74.8,1.6,69.3,6.3,67.3,Average
Arjun Sharma,ST2708,69.8,60.7,90.3,84.0,65.1,5.8,63.4,6.8,87.8,Excellent
Nikhil Malhotra,ST2709,77.0,58.8,76.2,73.8,69.4,5.6,62.8,7.1,79.9,Good
Neha Kumar,ST2710,64.2,65.7,54.1,54.9,60.1,2.9,51.3,7.3,73.7,Good
Vikram Singh,ST2711,65.8,47.9,72.7,72.1,82.0,3.3,61.9,6.6,70.2,Good
Riya Joshi,ST2712,82.7,76.5,74.1,79.1,82.9,4.3,82.4,7.2,85.1,Excellent
Riya Verma,ST2713,92.7,59.2,91.6,66.2,91.1,6.7,58.3,5.1,85.5,Excellent
Sanya Shah,ST2714,47.1,30.3,27.2,53.0,48.3,5.1,24.3,7.4,56.6,Average
Isha Yadav,ST2715,83.7,56.6,61.7,64.5,58.9,2.5,53.7,6.6,71.1,Good
Pranav Kumar,ST2716,77.4,51.7,72.9,57.4,52.2,5.6,69.6,4.8,74.1,Good
Pranav Malhotra,ST2717,64.5,65.9,50.9,57.5,68.3,2.2,55.4,7.3,68.5,Average
